'707', NULL, 'B701', 'B703', 'JT3C', NULL, 'B707-120/JT3C', 'INM 6.1 aircraft.dbf'
'C17', NULL, 'C17', 'A320', 'F117-PW-100', 'F1171', 'F117-PW-100', 'INM 6.1 aircraft.dbf'
'C17A', 'DC870', 'C17', 'A320', NULL, NULL, 'Globemaster III C-17', 'INM 6.1 acft_sub.dbf'
'C18A', NULL, '????', NULL, 'JT41-11', NULL, 'JT41-11', 'INM 6.1 aircraft.dbf'
'C20', 'GIIB', 'GLF3', 'CL60', NULL, NULL, 'US Military Gulfstream III', 'INM 6.1 acft_sub.dbf'
'C-20', NULL, 'GLF3', 'CL60', 'TAY Mk611-8', '1RR019', 'GULFSTREAM III MK611-8RR', 'INM 6.1 aircraft.dbf'
'C20A', 'GIIB', 'GLF3', 'CL60', NULL, NULL, 'US Military Gulfstream III', 'INM 6.1 acft_sub.dbf'
'C21A', NULL, 'LJ35', 'LJ35', 'TFE731-2-2B', '1AS001', 'LEARJET 35 TFE731-2-2B', 'INM 6.1 aircraft.dbf'
'C22', NULL, 'B721', 'B722', 'TRS18-1', NULL, 'BOEING 727 TRS18-1', 'INM 6.1 aircraft.dbf'
'C23', NULL, 'SH6', NULL, 'PT6A-65AR', 'PT6A6A', 'PT6A-65AR', 'INM 6.1 aircraft.dbf'
'C26', 'DHC6', 'SW4', 'SW3', NULL, NULL, 'Military Metro/Merlin', 'INM 6.1 acft_sub.dbf'
'C45', 'BEC58P', 'BE18', NULL, NULL, NULL, 'Military Twin Beech 18', 'INM 6.1 acft_sub.dbf'
'C5', '74720B', 'C5', 'B742', NULL, NULL, 'Lockheed Galaxy', 'INM 6.1 acft_sub.dbf'
'C5A', NULL, 'C5', 'B742', 'TF39-GE-1', 'TF391', 'LOCKHEED GALAXY TF39-GE-1', 'INM 6.1 aircraft.dbf'
'C7A', NULL, 'DHC4', NULL, NULL, NULL, 'DEHAVILLAND CARIBOU DHC-4A', 'INM 6.1 aircraft.dbf'
'C8', 'HS748A', 'DHC5', NULL, 'DHC-5', NULL, 'US Army DHC-5 Buffalo', 'INM 6.1 acft_sub.dbf'
'C9A', NULL, 'DC93', 'DC94', 'JT8D-9', NULL, 'MCDONNELL DOUGLAS DC9 JT8D-9', 'INM 6.1 aircraft.dbf'
'C9B', 'DC9Q9', 'DC93', 'DC94', NULL, NULL, 'Navy DC9-30 SkyTrain', 'INM 6.1 acft_sub.dbf'
'CA212', 'DHC6', 'C212', 'D228', NULL, NULL, 'CASA C-212 Aviocar', 'INM 6.1 acft_sub.dbf'
'CAN235', 'SF340', 'CN35', 'AT43', NULL, NULL, 'CACA-Nurtanio CN-235 Airtech', 'INM 6.1 acft_sub.dbf'
'CANBER', NULL, 'CNBR', NULL, 'AVON 109', NULL, '2 RR AVON 109', 'INM 6.1 aircraft.dbf'
'CC138', 'DHC6', 'DHC6', NULL, NULL, NULL, 'Canadian Air Force DHC-6 Twin Otter', 'INM 6.1 acft_sub.dbf'
'CIT3', NULL, 'C650', 'LJ35', 'TFE731-3-100S', NULL, 'CIT 3/TFE731-3-100S', 'INM 6.1 aircraft.dbf'
'CL600', NULL, 'CL60', 'CL60', 'ALF 502L', NULL, 'CL600/ALF502L', 'INM 6.1 aircraft.dbf'
'CL601', NULL, 'CL60', 'CL60', 'CF34-3A', '1GE034', 'CL601/CF34-3A', 'INM 6.1 aircraft.dbf'
'CL610', 'CL601', 'CL60', 'CL60', NULL, NULL, 'Canadair CL-610 Challenger ', 'INM 6.1 acft_sub.dbf'
'CLREGJ', 'CL601', 'CRJ1', 'CRJ1', NULL, NULL, 'Canadair Regional Jet', 'INM 6.1 acft_sub.dbf'
'CNA150', 'CNA172', 'C150', NULL, NULL, NULL, 'Cessna 150', 'INM 6.1 acft_sub.dbf'
'CNA152', 'CNA172', 'C152', NULL, NULL, NULL, 'Cessna 152', 'INM 6.1 acft_sub.dbf'
'CNA170', 'CNA172', 'C170', 'PA34', NULL, NULL, 'Cessna 170', 'INM 6.1 acft_sub.dbf'
'CNA172', NULL, 'C172', 'P28A', 'IO-360-L2A', NULL, 'Cessna 172R / Lycoming IO-360-L2A', 'INM 6.1 aircraft.dbf'
'CNA177', 'CNA172', 'C177', 'P28A', NULL, NULL, 'Cessna 177 Cardinal', 'INM 6.1 acft_sub.dbf'
'CNA17B', 'GASEPV', 'C177', 'P28A', NULL, NULL, 'Cessna 177B or RG Cardinal', 'INM 6.1 acft_sub.dbf'
'CNA180', 'CNA206', 'C180', NULL, NULL, NULL, 'Cessna Skywagon', 'INM 6.1 acft_sub.dbf'
'CNA182', 'CNA206', 'C182', 'P28A', NULL, NULL, 'Cessna 182 Skylan', 'INM 6.1 acft_sub.dbf'
'CNA185', 'CNA206', 'C185', NULL, NULL, NULL, 'Cessna Skywagon', 'INM 6.1 acft_sub.dbf'
'CNA205', 'CNA206', 'C205', NULL, NULL, NULL, 'Cessna 205 Super Skywagon', 'INM 6.1 acft_sub.dbf'
'CNA206', NULL, 'C206', NULL, 'IO-540-AC', NULL, 'Cessna 206H / Lycoming IO-540-AC', 'INM 6.1 aircraft.dbf'
'CNA207', 'CNA20T', 'C207', NULL, NULL, NULL, 'Cessna 207 Turbo Stationair', 'INM 6.1 acft_sub.dbf'
'CNA208', 'GASEPF', 'C208', 'PA27', NULL, NULL, 'Cessna 208 Caravan I', 'INM 6.1 acft_sub.dbf'
'CNA20T', NULL, 'C206', NULL, 'TIO-540-AJ1', NULL, 'Cessna T206H / Lycoming TIO-540-AJ1A', 'INM 6.1 aircraft.dbf'
'CNA210', 'CNA206', 'C210', 'PA31', NULL, NULL, 'Cessna 210 Centurion/II', 'INM 6.1 acft_sub.dbf'
'CNA303', 'BEC58P', 'C303', 'PA31', NULL, NULL, 'Cessna 303 Crusader', 'INM 6.1 acft_sub.dbf'
'CNA305', 'GASEPF', 'O1', NULL, NULL, NULL, 'Cessna 305/L-19 or O-1 Bird Dog', 'INM 6.1 acft_sub.dbf'
'CNA310', 'BEC58P', 'C310', 'PA31', NULL, NULL, 'Cessna 310', 'INM 6.1 acft_sub.dbf'
'CNA320', 'BEC58P', 'C320', NULL, NULL, NULL, 'Cessna 320 Skynight', 'INM 6.1 acft_sub.dbf'
'CNA335', 'BEC58P', 'C335', NULL, NULL, NULL, 'Cessna 335', 'INM 6.1 acft_sub.dbf'
'CNA336', 'BEC58P', 'C336', NULL, NULL, NULL, 'Cessna 336 Skymaster', 'INM 6.1 acft_sub.dbf'
