oid;profile_id;arrival_departure;stage;point;weight_lbs;horizontal_feet;vertical_feet;tas_knots;weight_kgs;horizontal_metres;vertical_metres;tas_metres;power;mode;course
6652;A319-131-D-5;D;5;6;166400;32329.4;3000;176.5;75477.7088;9854.00112;914.4;90.799366;0.71413;CL;ANP2.2
6653;A319-131-D-5;D;5;7;166400;42537;3340.7;218.1;75477.7088;12965.2776;1018.24536;112.2002364;0.749500909;CL;ANP2.2
6654;A319-131-D-5;D;5;8;166400;45364.7;3437.1;228.9;75477.7088;13827.16056;1047.62808;117.7562316;0.758634091;CL;ANP2.2
6655;A319-131-D-5;D;5;9;166400;50071.2;3614.8;249.1;75477.7088;15261.70176;1101.79104;128.1480004;0.764067727;CL;ANP2.2
6656;A319-131-D-5;D;5;10;166400;53602.7;3756.4;262.9;75477.7088;16338.10296;1144.95072;135.2473276;0.767230909;CL;ANP2.2
6657;A319-131-D-5;D;5;11;166400;68894.4;5500;269.9;75477.7088;20999.01312;1676.4;138.8484356;0.792023636;CL;ANP2.2
6658;A319-131-D-5;D;5;12;166400;87496.8;7500;278.3;75477.7088;26669.02464;2286;143.1697652;0.813877273;CL;ANP2.2
6659;A319-131-D-5;D;5;13;166400;113108;10000;289.3;75477.7088;34475.3184;3048;148.8286492;0.831594545;CL;ANP2.2
6660;A319-131-D-1;D;1;1;125900;0;0;0;57107.2328;0;0;0;0.975376818;TO;ANP2.2
6661;A319-131-D-1;D;1;2;125900;2992.9;0;133;57107.2328;912.23592;0;68.421052;0.845802727;TO;ANP2.2
6662;A319-131-D-1;D;1;3;125900;7395.5;1000;135;57107.2328;2254.1484;304.8;69.44994;0.860526364;TO;ANP2.2
6663;A319-131-D-1;D;1;4;125900;11994.4;1308.6;184.2;57107.2328;3655.89312;398.86128;94.7605848;0.81886;CL;ANP2.2
6664;A319-131-D-1;D;1;5;125900;14352;1457.1;204;57107.2328;4374.4896;444.12408;104.946576;0.802683636;CL;ANP2.2
6665;A319-131-D-1;D;1;6;125900;15352;1632.5;204.5;57107.2328;4679.2896;497.586;105.203798;0.728031818;CL;ANP2.2
6666;A319-131-D-1;D;1;7;125900;23149.1;3000;208.7;57107.2328;7055.84568;914.4;107.3644628;0.740325909;CL;ANP2.2
6667;A319-131-D-1;D;1;8;125900;31560.7;3487.7;261.9;57107.2328;9619.70136;1063.05096;134.7328836;0.763070455;CL;ANP2.2
6668;A319-131-D-1;D;1;9;125900;43450.4;5500;269.9;57107.2328;13243.68192;1676.4;138.8484356;0.792023636;CL;ANP2.2
6669;A319-131-D-1;D;1;10;125900;55960;7500;278.3;57107.2328;17056.608;2286;143.1697652;0.813877273;CL;ANP2.2
6670;A319-131-D-1;D;1;11;125900;73020;10000;289.3;57107.2328;22256.496;3048;148.8286492;0.831594545;CL;ANP2.2
6671;A319-131-D-2;D;2;1;131000;0;0;0;59420.552;0;0;0;0.975376818;TO;ANP2.2
6672;A319-131-D-2;D;2;2;131000;3250.2;0;135.7;59420.552;990.66096;0;69.8100508;0.843204091;TO;ANP2.2
6673;A319-131-D-2;D;2;3;131000;7925.6;1000;137.7;59420.552;2415.72288;304.8;70.8389388;0.857928182;TO;ANP2.2
6674;A319-131-D-2;D;2;4;131000;13000.9;1319.2;188;59420.552;3962.67432;402.09216;96.715472;0.81544;CL;ANP2.2
6675;A319-131-D-2;D;2;5;131000;15402.7;1461.9;206.6;59420.552;4694.74296;445.58712;106.2841304;0.800239545;CL;ANP2.2
6676;A319-131-D-2;D;2;6;131000;16402.7;1628.8;207.2;59420.552;4999.54296;496.45824;106.5927968;0.728169091;CL;ANP2.2
